Exact_Brandes_NetworkX,../../Data/p2p-Gnutella24.txt,779.6693120002747,NetworkX_Results/09-12-2023_networkx_exact.json,
Approximation_Brandes_NetworkX_20_0,../../Data/p2p-Gnutella24.txt,157.5151183605194,NetworkX_Results/09-12-2023_networkx_approximation_20_0.json,1.0340419545340723e-05,3.1101186894430697e-05
Approximation_Brandes_NetworkX_20_1,../../Data/p2p-Gnutella24.txt,162.6048436164856,NetworkX_Results/09-12-2023_networkx_approximation_20_1.json,1.0396849733529488e-05,3.3348552586061754e-05
Approximation_Brandes_NetworkX_20_2,../../Data/p2p-Gnutella24.txt,149.45778489112854,NetworkX_Results/09-12-2023_networkx_approximation_20_2.json,1.051921393735843e-05,3.2219834856815764e-05
Approximation_Brandes_NetworkX_20_3,../../Data/p2p-Gnutella24.txt,150.79827523231506,NetworkX_Results/09-12-2023_networkx_approximation_20_3.json,1.0236509839119802e-05,3.1589539094802895e-05
Approximation_Brandes_NetworkX_20_4,../../Data/p2p-Gnutella24.txt,151.77636861801147,NetworkX_Results/09-12-2023_networkx_approximation_20_4.json,1.0277484247730964e-05,3.233634482855026e-05
Approximation_Brandes_NetworkX_40_0,../../Data/p2p-Gnutella24.txt,290.99947714805603,NetworkX_Results/09-12-2023_networkx_approximation_40_0.json,6.416406899374926e-06,1.9388969303677573e-05
Approximation_Brandes_NetworkX_40_1,../../Data/p2p-Gnutella24.txt,278.71858835220337,NetworkX_Results/09-12-2023_networkx_approximation_40_1.json,6.749480812154097e-06,2.066756904040768e-05
Approximation_Brandes_NetworkX_40_2,../../Data/p2p-Gnutella24.txt,284.4481670856476,NetworkX_Results/09-12-2023_networkx_approximation_40_2.json,6.519408969958468e-06,1.969712364487992e-05
Approximation_Brandes_NetworkX_40_3,../../Data/p2p-Gnutella24.txt,284.21346616744995,NetworkX_Results/09-12-2023_networkx_approximation_40_3.json,6.5539896650511095e-06,1.9741452274261346e-05
Approximation_Brandes_NetworkX_40_4,../../Data/p2p-Gnutella24.txt,290.27761816978455,NetworkX_Results/09-12-2023_networkx_approximation_40_4.json,6.379827015109972e-06,1.8988837160061446e-05
Approximation_Brandes_NetworkX_60_0,../../Data/p2p-Gnutella24.txt,432.45075273513794,NetworkX_Results/09-12-2023_networkx_approximation_60_0.json,4.3236163485025845e-06,1.3103871407352473e-05
Approximation_Brandes_NetworkX_60_1,../../Data/p2p-Gnutella24.txt,434.5390238761902,NetworkX_Results/09-12-2023_networkx_approximation_60_1.json,4.198974859483453e-06,1.2601057810210473e-05
Approximation_Brandes_NetworkX_60_2,../../Data/p2p-Gnutella24.txt,432.40618777275085,NetworkX_Results/09-12-2023_networkx_approximation_60_2.json,4.20781988375171e-06,1.284304124683442e-05
Approximation_Brandes_NetworkX_60_3,../../Data/p2p-Gnutella24.txt,434.8156979084015,NetworkX_Results/09-12-2023_networkx_approximation_60_3.json,4.290514998531297e-06,1.2905883419627759e-05
Approximation_Brandes_NetworkX_60_4,../../Data/p2p-Gnutella24.txt,430.16837906837463,NetworkX_Results/09-12-2023_networkx_approximation_60_4.json,4.286818137628511e-06,1.2876446320611522e-05
Approximation_Brandes_NetworkX_80_0,../../Data/p2p-Gnutella24.txt,578.7290258407593,NetworkX_Results/09-12-2023_networkx_approximation_80_0.json,2.629532041505858e-06,8.07974332179713e-06
Approximation_Brandes_NetworkX_80_1,../../Data/p2p-Gnutella24.txt,581.063493013382,NetworkX_Results/09-12-2023_networkx_approximation_80_1.json,2.588607614886369e-06,8.029515809434318e-06
Approximation_Brandes_NetworkX_80_2,../../Data/p2p-Gnutella24.txt,581.0574417114258,NetworkX_Results/09-12-2023_networkx_approximation_80_2.json,2.5946170146503525e-06,8.060290920884433e-06
Approximation_Brandes_NetworkX_80_3,../../Data/p2p-Gnutella24.txt,580.5464036464691,NetworkX_Results/09-12-2023_networkx_approximation_80_3.json,2.4995564014232597e-06,7.645221683722478e-06
Approximation_Brandes_NetworkX_80_4,../../Data/p2p-Gnutella24.txt,574.2506682872772,NetworkX_Results/09-12-2023_networkx_approximation_80_4.json,2.70412372715488e-06,8.697489243600998e-06
